,DateLastVerified,ID,OperatorID,UsageTypeID,StatusTypeID,DateLastStatusUpdate,DateCreated,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactEmail,AddressInfo.AccessComments,GeneralComments,OperatorsReference,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Comments
0,2025-08-28T15:17:00Z,460621,3504.0,1.0,50,2025-08-28T15:17:00Z,2025-08-28T15:17:00Z,461010,LEAP24 Charging Station,Nijverheidsweg-Noord 104,Amersfoort,3812PN,52.168167,5.358717,,,,,,774959.0,33.0,50.0,3.0,120.0,30.0,2.0,
1,2025-08-25T08:00:00Z,460536,108.0,1.0,50,2025-08-25T08:00:00Z,2025-08-24T13:19:00Z,460925,Marialaan,Marialaan 32,Ooij,6576 BJ,51.8543117153298,5.944049993010708,,,,,,774827.0,33.0,50.0,2.0,11.04,20.0,2.0,
2,2025-08-25T08:00:00Z,460535,108.0,1.0,50,2025-08-25T08:00:00Z,2025-08-24T13:13:00Z,460924,Dovenetel,Dovenetel 2,Haelen,6081 CG,51.234904,5.9501153,,,,,,774826.0,33.0,50.0,2.0,11.04,20.0,2.0,
3,2025-07-23T13:54:00Z,459910,3387.0,4.0,50,2025-07-23T13:54:00Z,2025-07-20T10:38:00Z,460299,Roompot Parkeerplaats,Zeekraalstraat,,,51.3827394098422,3.4412654636525417,,,,,,773840.0,25.0,50.0,2.0,11.0,20.0,6.0,
4,2025-07-23T13:54:00Z,459907,3387.0,4.0,50,2025-07-23T13:54:00Z,2025-07-19T21:17:00Z,460296,Parkeerplaats Zeedijk,Zeedijk 9,Nieuwvliet,,51.39043038785479,3.4538934708392333,,,,,,773836.0,25.0,50.0,2.0,17.0,20.0,2.0,
5,2025-07-03T07:16:00Z,459140,3632.0,4.0,0,2025-07-03T07:16:00Z,2025-07-03T06:25:00Z,459529,TopParken - Resort de Brabantse Kempen,Wellenseind 9,Lage Mierde,5094 EG,51.4210791,5.1419643,,,,,,771804.0,2.0,0.0,,,10.0,1.0,
6,2025-07-04T19:04:00Z,459036,3387.0,1.0,50,2025-07-04T19:04:00Z,2025-07-01T19:03:00Z,459425,LastMileSolutions,Textielstraat 1,,,52.173494966027874,6.742379000402025,,,,,,771600.0,2.0,50.0,3.0,50.0,30.0,1.0,
7,2025-06-28T12:09:00Z,458923,3510.0,1.0,50,2025-06-28T12:09:00Z,2025-06-25T12:05:00Z,459312,Total Energies,Ijmuiderstraatweg,IJmuiden,,52.46316607990792,4.6149589847780135,,,,,,771432.0,33.0,50.0,3.0,150.0,30.0,2.0,
8,2025-09-05T08:39:00Z,456522,3632.0,4.0,50,2025-09-05T08:39:00Z,2025-06-21T09:42:00Z,456911,AG EMS Eemshaven (PowerGo),Borkumkade 1,Eemshaven,9909TA,53.45703266,6.83221479,,,,,,766175.0,33.0,50.0,3.0,120.0,30.0,1.0,
9,2025-07-03T07:16:00Z,456521,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456910,Restaurette Schierzicht Lauwersoog (PowerGo),Haven 8,Lauwersoog,9976VN,53.40778107,6.19952575,,,,,,766171.0,1036.0,50.0,2.0,12.7,20.0,1.0,
10,2025-07-03T07:16:00Z,456519,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456908,Jumbo 6594 Groningen Reitdiephaven (PowerGo),Reitdiephaven 277,Groningen,9746 RE,53.2358344,6.5217084,,,,,,766166.0,33.0,50.0,3.0,320.0,30.0,1.0,
11,2025-07-03T07:16:00Z,456518,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456907,Pezy Group - Kieler Bocht 67 (PowerGo),Kieler Bocht 67,Groningen,9723 JA,53.20727539,6.6271534,,,,,,766164.0,1036.0,50.0,2.0,12.7,20.0,1.0,
12,2025-07-03T07:16:00Z,456517,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456906,Bornholmstraat 76 (PowerGo),Bornholmstraat 76,Groningen,9723AZ,53.2031996,6.6047963,,,,,,766162.0,1036.0,50.0,2.0,12.7,20.0,1.0,
13,2025-07-03T07:16:00Z,456516,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456905,Bornholmstraat 82 (PowerGo),Bornholmstraat 82,Groningen,9723AZ,53.2030298,6.6057479,,,,,,766160.0,1036.0,50.0,2.0,12.7,20.0,1.0,
14,2025-07-03T07:16:00Z,456515,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456904,Hotel Parkzicht Veendam (PowerGo),Museumplein 3,Veendam,9641AD,53.10711689,6.87472602,,,,,,766158.0,1036.0,50.0,2.0,12.7,20.0,1.0,
15,2025-07-03T07:16:00Z,456514,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456903,The Ranch Veendam (PowerGo),Parkweg 1,Veendam,9642 ZZ,53.1066913,6.8493242,,,,,,766155.0,33.0,50.0,3.0,30.0,30.0,1.0,
16,2025-07-03T07:16:00Z,456513,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456902,Basic-Fit 1201 Assen Nijverheidsweg (PowerGo),Nijverheidsweg 1,Assen,9403 VN,53.01102365,6.59002223,,,,,,766153.0,33.0,50.0,3.0,30.0,30.0,1.0,
17,2025-09-05T08:39:00Z,456512,3632.0,4.0,50,2025-09-05T08:39:00Z,2025-06-21T09:42:00Z,456901,Jumbo 3524 Gieten Stationsstraat (PowerGo),Stationsstraat 37,Gieten,9461GR,53.00180054,6.76408958,,,,,,766151.0,33.0,50.0,3.0,90.0,30.0,1.0,
